title,slug,category,shortDescription,specs,fleetQty,fleetNumbers,ownership,operatorAvailable,deliveryClass,image,sortOrder,active
10T SAMAG 70 Series Crane Truck,10t-samag-70-series-crane-truck,"Cranes, Trucks & Logistics",10-tonne payload truck with an 8-tonne HI-AB knuckle-boom crane for self-loading site deliveries.,Payload: 10 t|Crane: 8 t HI-AB|Licence: Code EC|Cross-border capable,1,ECR010,Owned,Yes,Heavy,10t-samag-70-series-crane-truck.webp,1,TRUE
11T Hino 700 Crane Truck (8.3T Palfinger),11t-hino-700-crane-truck-8-3t-palfinger,"Cranes, Trucks & Logistics",Hino 700 rigid truck with an 8.3-tonne Palfinger crane — the workhorse for plant and material placement.,Payload: 11 t|Crane: 8.3 t Palfinger|Licence: Code EC|Qualified operator available,2,"ECR030, ECR090",Owned,Yes,Heavy,11t-hino-700-crane-truck-8-3t-palfinger.webp,2,TRUE
35T MAN 33.480 Truck & Step-Deck Trailer,35t-man-33-480-truck-step-deck-trailer,"Cranes, Trucks & Logistics","Heavy haulage combination for moving excavators, TLBs, telehandlers and containers between sites.",Payload: 35 t|Step-deck low-bed trailer|Abnormal load capable|Nationwide delivery,1,ECR060,Owned,Yes,Heavy,35t-man-33-480-truck-step-deck-trailer.webp,3,TRUE
Hino 500 Tipper,hino-500-tipper,"Cranes, Trucks & Logistics","Rigid tipper truck for spoil, aggregate, sand and demolition rubble haulage.",Rigid tipper body|Licence: Code C1/EC|Site-ready,1,ECR074,Owned,Yes,Heavy,hino-500-tipper.webp,4,TRUE
110T Mobile Crane (Managed Hire),110t-mobile-crane-managed-hire,"Cranes, Trucks & Logistics",Large-capacity mobile crane supplied and managed by EC Rentals through our vetted crane partners.,Capacity: 110 t|Operator & rigging team included|Lift plan and load test certification,0,Managed hire,Managed,Yes,Heavy,110t-mobile-crane-managed-hire.webp,5,TRUE
Case CX220C Excavator,case-cx220c-excavator,Earthmoving & Material Handling,"22-tonne class hydraulic excavator for bulk earthworks, trenching and civil site preparation.",Operating weight: ~22 t|Attachments on request|Operator available|Low-bed delivery,1,ECR100,Owned,Yes,Heavy,case-cx220c-excavator.webp,6,TRUE
Case TLB (Backhoe Loader),case-tlb-backhoe-loader,Earthmoving & Material Handling,"Tractor-loader-backhoe for trenching, loading, backfilling and general site support.",4x4 backhoe loader|Trenching & loading buckets|Operator available,2,"ECR055, ECR071",Owned,Yes,Heavy,case-tlb-backhoe-loader.webp,7,TRUE
Case Skid Steer Loader,case-skid-steer-loader,Earthmoving & Material Handling,"Compact, highly manoeuvrable loader for confined-space earthworks and yard handling.",Compact footprint|Attachment-ready|Ideal for plant rooms and confined sites,1,ECR106,Owned,Yes,Standard,case-skid-steer-loader.webp,8,TRUE
MultiOne Multiloader,multione-multiloader,Earthmoving & Material Handling,Articulated mini-loader with a wide attachment range — the go-to machine for indoor and restricted-access work.,Articulated mini-loader|Multiple attachments|Indoor / confined-access capable,2,"ECR022, ECR023",Owned,Yes,Standard,multione-multiloader.webp,9,TRUE
Wulf Mulcher,wulf-mulcher,Earthmoving & Material Handling,Mulching head attachment for vegetation clearing and servitude maintenance.,Vegetation clearing|Servitude & firebreak maintenance|Carrier machine available,1,ECR078,Owned,Yes,Standard,wulf-mulcher.webp,10,TRUE
2-Tine Ripper,2-tine-ripper,Earthmoving & Material Handling,Heavy ripper attachment for breaking compacted ground and hard-standing prior to excavation.,2-tine configuration|Tractor / TLB mounted,1,ECR110,Owned,No,Standard,2-tine-ripper.webp,11,TRUE
2.5T Telehandler (2505),2-5t-telehandler-2505,Telehandlers & Access,Compact telescopic handler for confined-site material placement.,Capacity: 2.5 t|Telescopic boom|Forks and other attachments available,0,Managed hire,Managed,Yes,Heavy,2-5t-telehandler-2505.webp,12,TRUE
3.5T Telehandler (3512),3-5t-telehandler-3512,Telehandlers & Access,Mid-range telehandler balancing reach and lift for general construction.,Capacity: 3.5 t|Reach: ~12 m|Forks / bucket / jib,0,Managed hire,Managed,Yes,Heavy,3-5t-telehandler-3512.webp,13,TRUE
4T Telehandler (4017),4t-telehandler-4017,Telehandlers & Access,Our most-requested telehandler — 4-tonne capacity with 17-metre reach for structural steel and cladding work.,Capacity: 4 t|Reach: ~17 m|Load-tested and certified|Operator available,0,Managed hire,Managed,Yes,Heavy,4t-telehandler-4017.webp,14,TRUE
9T Telehandler,9t-telehandler,Telehandlers & Access,High-capacity telehandler for heavy material placement on major industrial projects.,Capacity: 9 t|Load-tested and certified|Operator available,0,Managed hire,Managed,Yes,Heavy,9t-telehandler.webp,15,TRUE
10T Telehandler (HTH10),10t-telehandler-hth10,Telehandlers & Access,Our largest telehandler class — for heavy lifts where a mobile crane is not practical.,Capacity: 10 t|Load-tested and certified|Operator available,0,Managed hire,Managed,Yes,Heavy,10t-telehandler-hth10.webp,16,TRUE
JCB Telehandler,jcb-telehandler,Telehandlers & Access,Owned JCB telescopic handler available for medium- and long-term project placement.,Telescopic handler|Load-test certified|Operator available,1,ECR056,Owned,Yes,Heavy,jcb-telehandler.webp,17,TRUE
Haulotte Telehandler,haulotte-telehandler,Telehandlers & Access,Owned Haulotte telescopic handler for sustained on-site material handling.,Telescopic handler|Load-test certified|Operator available,1,ECR070,Owned,Yes,Heavy,haulotte-telehandler.webp,18,TRUE
12.5m Trailer-Mounted Cherry Picker,12-5m-trailer-mounted-cherry-picker,Telehandlers & Access,Towable elevating work platform for access work without a dedicated carrier vehicle.,Working height: 12.5 m|Trailer mounted|Towable behind an LDV,0,Managed hire,Managed,No,Standard,12-5m-trailer-mounted-cherry-picker.webp,19,TRUE
26m Cherry Picker,26m-cherry-picker,Telehandlers & Access,"High-reach self-propelled boom lift for structural, electrical and maintenance access.",Working height: 26 m|Self-propelled boom lift|Operator available,0,Managed hire,Managed,Yes,Heavy,26m-cherry-picker.webp,20,TRUE
3.5T Zoomlion Forklift,3-5t-zoomlion-forklift,Forklifts,"3.5-tonne counterbalance forklift for yard, warehouse and laydown-area handling.",Capacity: 3.5 t|Load-test certified|Operator available,1,ECR021,Owned,Yes,Standard,3-5t-zoomlion-forklift.webp,21,TRUE
10T TCM Forklift,10t-tcm-forklift,Forklifts,"Heavy-duty 10-tonne forklift for steel, plate and large-package handling.",Capacity: 10 t|Load-test certified|Operator available,1,ECR028 — CONFIRM: register lists as SOLD,Owned,Yes,Heavy,10t-tcm-forklift.webp,22,TRUE
Case JX75 Tractor,case-jx75-tractor,Tractors & Agricultural,"75 hp utility tractor — our largest tractor pool, used for haulage, slashing and site support.","~75 hp utility tractor|Trailer, slasher and ripper compatible|Operator available",6,ECR094–ECR099,Owned,Yes,Standard,case-jx75-tractor.webp,23,TRUE
Massey Ferguson Tractor,massey-ferguson-tractor,Tractors & Agricultural,Reliable utility tractor for agricultural haulage and site logistics.,Utility tractor|Trailer and implement compatible|Operator available,2,"ECR079, ECR091",Owned,Yes,Standard,massey-ferguson-tractor.webp,24,TRUE
Landini Tractor,landini-tractor,Tractors & Agricultural,Utility tractor for farm and estate work.,Utility tractor|Implement compatible,1,ECR107,Owned,Yes,Standard,landini-tractor.webp,25,TRUE
Slasher (Dicla),slasher-dicla,Tractors & Agricultural,Tractor-mounted rotary slasher for grass and light bush clearing.,Tractor mounted|Grass and light bush clearing,2,"ECR116, ECR117",Owned,No,Standard,slasher-dicla.webp,26,TRUE
Slasher (AEM),slasher-aem,Tractors & Agricultural,Tractor-mounted rotary slasher for servitude and firebreak maintenance.,Tractor mounted|Servitude & firebreak maintenance,2,"ECR118, ECR119",Owned,No,Standard,slasher-aem.webp,27,TRUE
8T 6m Tractor Trailer,8t-6m-tractor-trailer,Tractors & Agricultural,6-metre tractor-drawn trailer rated to 8 tonnes for on-site bulk movement.,Capacity: 8 t|Length: 6 m|Tractor drawn,2,"ECR101, ECR102",Owned,No,Standard,8t-6m-tractor-trailer.webp,28,TRUE
10T 9m Flatbed Tractor Trailer,10t-9m-flatbed-tractor-trailer,Tractors & Agricultural,"9-metre flatbed tractor trailer rated to 10 tonnes — ideal for pipe, steel and panel transport on site.",Capacity: 10 t|Length: 9 m|Flatbed deck|Tractor drawn,3,ECR103–ECR105,Owned,No,Standard,10t-9m-flatbed-tractor-trailer.webp,29,TRUE
Solar Ramming Pile Driver,solar-ramming-pile-driver,Solar & Piling,Purpose-built ramming machines for solar PV pile installation — the core of our renewable-energy offering.,Solar PV pile driving|Trained operators available|Deployed on utility-scale solar projects,6,"ECR031, ECR032, ECR072, ECR073, ECR092, ECR093",Owned,Yes,Heavy,solar-ramming-pile-driver.webp,30,TRUE
23kVA Diesel Generator,23kva-diesel-generator,Power & Site Support,Compact standby / prime power generator for site offices and small plant.,Output: 23 kVA|Diesel|Trailer or skid mounted,1,ECR111,Owned,No,Standard,23kva-diesel-generator.webp,31,TRUE
30kVA Diesel Generator,30kva-diesel-generator,Power & Site Support,"Mid-range generator set for site establishment, workshops and welding.",Output: 30 kVA|Diesel|Road-legal trailer mounted,2,"ECR075, ECR076",Owned,No,Standard,30kva-diesel-generator.webp,32,TRUE
50kVA Diesel Generator,50kva-diesel-generator,Power & Site Support,High-output generator for full site establishment and continuous plant supply.,Output: 50 kVA|Diesel|Trailer mounted,2,"ECR114, ECR115",Owned,No,Standard,50kva-diesel-generator.webp,33,TRUE
500L Diesel Bowser,500l-diesel-bowser,Power & Site Support,Road-legal 500-litre diesel bowser for refuelling plant in the field.,"Capacity: 500 L|Road legal, licensed|Pump and hose reel",2,"ECR016, ECR052",Owned,No,Standard,500l-diesel-bowser.webp,34,TRUE
Cable Trolley,cable-trolley,Power & Site Support,Cable drum trolley for controlled cable pulling and installation.,Cable drum handling|Pairs with cable jacks and rollers,2,"ECR108, ECR109",Owned,No,Standard,cable-trolley.webp,35,TRUE
"Site Containers — Office, Store, Ablution & Kitchen",site-containers-office-store-ablution-kitchen,Power & Site Support,"Full site-establishment container packages: 3m, 6m and 12m offices, stores, ablutions and kitchens, delivered and positioned.","3 m / 6 m / 12 m units|Office, store, ablution, kitchen|Delivery, placement and off-hire managed",0,Managed hire,Managed,No,Heavy,site-containers-office-store-ablution-kitchen.webp,36,TRUE
HVA60 VLF High-Voltage Cable Tester,hva60-vlf-high-voltage-cable-tester,HV Diagnostics & Testing,Portable 0.1 Hz Very Low Frequency HV cable testing system for commissioning and fault investigation.,0.1 Hz VLF|Portable|HV cable testing and diagnostics|Qualified technician available,1,Testers,Owned,Yes,Light,hva60-vlf-high-voltage-cable-tester.webp,37,TRUE
Sherla Cable Sheath Fault Locator (0–10kV),sherla-cable-sheath-fault-locator-010kv,HV Diagnostics & Testing,"Precision sheath fault location on MV cable, minimising excavation and downtime.",Range: 0–10 kV|Sheath fault pinpointing|Qualified technician available,1,Testers,Owned,Yes,Light,sherla-cable-sheath-fault-locator-010kv.webp,38,TRUE
Toyota Hilux 2.4 GD-6 Double Cab,toyota-hilux-2-4-gd-6-double-cab,Vehicle Hire — LDVs & Bakkies,"Our core crew vehicle — 5-seat double cab bakkie, serviced and site-compliant.","2.4 GD-6 turbo diesel|Double cab, 5 seats|Load bin|Canopy variants available",9,"ECR026, ECR027, ECR035, ECR044, ECR049, ECR053, ECR059, ECR080, ECR085",Owned,No,Light,toyota-hilux-2-4-gd-6-double-cab.webp,39,TRUE
Toyota Hilux 2.4 GD-6 Double Cab with Canopy,toyota-hilux-2-4-gd-6-double-cab-with-canopy,Vehicle Hire — LDVs & Bakkies,Double cab with lockable canopy for secure tool and equipment transport.,2.4 GD-6 turbo diesel|Double cab|Lockable canopy,1,ECR041,Owned,No,Light,toyota-hilux-2-4-gd-6-double-cab-with-canopy.webp,40,TRUE
Toyota Hilux 4.0 V6 Double Cab,toyota-hilux-4-0-v6-double-cab,Vehicle Hire — LDVs & Bakkies,Petrol V6 double cab for high-performance and towing duty.,4.0 V6 VVTi petrol|Double cab|Towing capable,1,ECR066,Owned,No,Light,toyota-hilux-4-0-v6-double-cab.webp,41,TRUE
Toyota Hilux 2.5 / 3.0 D-4D Double Cab,toyota-hilux-2-5-3-0-d-4d-double-cab,Vehicle Hire — LDVs & Bakkies,Proven D-4D double cab bakkies for general project transport.,2.5 or 3.0 D-4D turbo diesel|Double cab|Load bin,2,"ECR029, OLD ECR018",Owned,No,Light,toyota-hilux-2-5-3-0-d-4d-double-cab.webp,42,TRUE
Toyota Hilux 2.4 GD-6 Single Cab,toyota-hilux-2-4-gd-6-single-cab,Vehicle Hire — LDVs & Bakkies,Single cab workhorse with full load bin — the standard site LDV.,2.4 GD-6 turbo diesel|Single cab|Full-length load bin|Canopy variants available,8,"ECR036, ECR045, ECR048, ECR068, ECR069, ECR112, ECR113, ECR082",Owned,No,Light,toyota-hilux-2-4-gd-6-single-cab.webp,43,TRUE
